,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 04:37:53.918014500+00:00,13904.2998046875,Kgal,True,False,False,False
1,2021-11-06 12:36:43.852005+00:00,13906.599609375,Kgal,True,False,False,False
2,2021-11-06 20:31:44.039001400+00:00,13908.900390625,Kgal,True,False,False,False
3,2021-11-07 04:28:18.887008600+00:00,13911.099609375,Kgal,True,False,False,False
4,2021-11-07 05:30:43.940002400+00:00,13911.400390625,Kgal,True,False,False,False
5,2021-11-07 05:31:29.675003+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
6,2021-11-07 05:34:55.928009+00:00,13911.400390625,Kgal,True,False,False,False
7,2021-11-07 13:34:35.906005800+00:00,13913.599609375,Kgal,True,False,False,False
8,2021-11-07 21:29:56.026000900+00:00,13915.900390625,Kgal,True,False,False,False
9,2021-11-08 05:23:10.927001900+00:00,13918.2998046875,Kgal,True,False,False,False
10,2021-11-08 13:17:15.896011300+00:00,13920.7001953125,Kgal,True,False,False,False
11,2021-11-08 19:40:15.954010+00:00,13923.2998046875,Kgal,True,False,False,False
12,2021-11-08 21:50:45.989013600+00:00,13924.2001953125,Kgal,True,False,False,False
13,2021-11-08 21:51:31.254013+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
14,2021-11-08 21:51:32.020004200+00:00,13924.2001953125,Kgal,True,False,False,False
15,2021-11-08 22:48:23.922012300+00:00,13924.5,Kgal,True,False,False,False
16,2021-11-08 22:48:48.531005800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
17,2021-11-08 22:49:06.194000200+00:00,13924.5,Kgal,True,False,False,False
18,2021-11-09 00:05:08.949005100+00:00,13924.900390625,Kgal,True,False,False,False
19,2021-11-09 00:10:31.440002400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
20,2021-11-09 00:12:06.158004700+00:00,13924.900390625,Kgal,True,False,False,False
21,2021-11-09 08:07:43.968002300+00:00,13927.2001953125,Kgal,True,False,False,False
22,2021-11-09 15:44:48.871002100+00:00,13929.599609375,Kgal,True,False,False,False
