,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 03:12:28.054000800+00:00,244.60499572753906,Kgal,True,False,False,False
1,2021-11-06 11:10:53.039001400+00:00,244.60499572753906,Kgal,True,False,False,False
2,2021-11-06 19:10:23.034011800+00:00,244.61900329589844,Kgal,True,False,False,False
3,2021-11-07 03:07:53.048004100+00:00,244.63499450683594,Kgal,True,False,False,False
4,2021-11-07 05:30:52.147003100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
5,2021-11-07 05:34:50.064010600+00:00,244.63499450683594,Kgal,True,False,False,False
6,2021-11-07 13:26:35.034011800+00:00,244.63499450683594,Kgal,True,False,False,False
7,2021-11-07 21:20:10.044006300+00:00,244.6479949951172,Kgal,True,False,False,False
8,2021-11-08 05:17:40.054000800+00:00,244.66200256347656,Kgal,True,False,False,False
9,2021-11-08 13:12:30.037002500+00:00,244.66200256347656,Kgal,True,False,False,False
10,2021-11-08 21:04:15.038009600+00:00,244.70700073242188,Kgal,True,False,False,False
11,2021-11-08 21:37:00.042007400+00:00,244.70899963378906,Kgal,True,False,False,False
12,2021-11-08 21:37:09.040008500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
13,2021-11-08 21:37:46.117004300+00:00,244.70899963378906,Kgal,True,False,False,False
14,2021-11-08 22:00:25.041000300+00:00,244.71099853515625,Kgal,True,False,False,False
15,2021-11-08 22:00:34.039001400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
16,2021-11-08 22:01:11.115005400+00:00,244.71099853515625,Kgal,True,False,False,False
17,2021-11-08 22:05:24.059005700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
18,2021-11-08 22:05:25.061004600+00:00,244.71099853515625,Kgal,True,False,False,False
19,2021-11-08 22:22:28.037002500+00:00,244.7220001220703,Kgal,True,False,False,False
20,2021-11-08 22:22:37.035003600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
21,2021-11-08 22:23:14.113006500+00:00,244.7220001220703,Kgal,True,False,False,False
