,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 00:44:18.452011100+00:00,1594.5,Kgal,True,False,False,False
1,2021-11-06 08:39:38.531005800+00:00,1595.5999755859375,Kgal,True,False,False,False
2,2021-11-06 16:33:48.403015100+00:00,1596.699951171875,Kgal,True,False,False,False
3,2021-11-07 00:33:28.477005+00:00,1597.699951171875,Kgal,True,False,False,False
4,2021-11-07 05:30:43.410003600+00:00,1598.4000244140625,Kgal,True,False,False,False
5,2021-11-07 05:31:29.555007900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
6,2021-11-07 05:33:50.457000700+00:00,1598.4000244140625,Kgal,True,False,False,False
7,2021-11-07 13:31:50.500000+00:00,1599.5999755859375,Kgal,True,False,False,False
8,2021-11-07 21:28:05.480010900+00:00,1600.699951171875,Kgal,True,False,False,False
9,2021-11-08 05:26:45.350006100+00:00,1601.9000244140625,Kgal,True,False,False,False
10,2021-11-08 13:09:10.414001400+00:00,1603.0999755859375,Kgal,True,False,False,False
11,2021-11-08 15:59:35.691009500+00:00,1604.300048828125,Kgal,True,False,False,False
12,2021-11-08 16:13:40.392013500+00:00,1604.5999755859375,Kgal,True,False,False,False
13,2021-11-08 21:35:10.320007300+00:00,1606.0999755859375,Kgal,True,False,False,False
14,2021-11-08 21:35:56.210006700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
15,2021-11-08 21:35:56.632003700+00:00,1606.199951171875,Kgal,True,False,False,False
16,2021-11-08 22:00:41.209014800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
17,2021-11-08 22:00:41.678009+00:00,1606.199951171875,Kgal,True,False,False,False
18,2021-11-08 22:24:18.443008400+00:00,1606.300048828125,Kgal,True,False,False,False
19,2021-11-08 22:25:04.209014800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
20,2021-11-08 22:25:04.552001900+00:00,1606.300048828125,Kgal,True,False,False,False
21,2021-11-08 22:41:53.463012600+00:00,1606.4000244140625,Kgal,True,False,False,False
22,2021-11-08 22:42:39.214004500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
23,2021-11-08 22:42:39.573013300+00:00,1606.4000244140625,Kgal,True,False,False,False
24,2021-11-08 23:05:08.214004500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
25,2021-11-08 23:05:43.372009200+00:00,1606.4000244140625,Kgal,True,False,False,False
26,2021-11-09 00:05:53.388000400+00:00,1606.5999755859375,Kgal,True,False,False,False
27,2021-11-09 00:10:31.396011300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
28,2021-11-09 00:12:05.365005400+00:00,1606.5999755859375,Kgal,True,False,False,False
29,2021-11-09 08:08:08.422012300+00:00,1607.800048828125,Kgal,True,False,False,False
30,2021-11-09 13:45:38.381011900+00:00,1608.699951171875,Kgal,True,False,False,False
31,2021-11-09 21:43:56.536010700+00:00,1610.9000244140625,Kgal,True,False,False,False
32,2021-11-10 05:38:36.452011100+00:00,1612.0999755859375,Kgal,True,False,False,False
33,2021-11-10 13:17:01.483001700+00:00,1613.4000244140625,Kgal,True,False,False,False
34,2021-11-10 14:05:16.326004+00:00,1613.9000244140625,Kgal,True,False,False,False
35,2021-11-10 19:40:16.530014+00:00,1615.699951171875,Kgal,True,False,False,False
36,2021-11-11 01:30:06.552001900+00:00,1616.9000244140625,Kgal,True,False,False,False
37,2021-11-11 09:30:06.423004100+00:00,1618.199951171875,Kgal,True,False,False,False
38,2021-11-11 13:57:26.426010100+00:00,1619.0,Kgal,True,False,False,False
39,2021-11-11 21:56:51.411010700+00:00,1621.199951171875,Kgal,True,False,False,False
40,2021-11-12 01:50:46.418014500+00:00,1621.800048828125,Kgal,True,False,False,False
41,2021-11-12 01:50:55.310012800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
42,2021-11-12 01:50:56.558013900+00:00,1621.800048828125,Kgal,True,False,False,False
43,2021-11-12 09:43:16.573013300+00:00,1622.9000244140625,Kgal,True,False,False,False
44,2021-11-12 13:07:56.356002800+00:00,1623.699951171875,Kgal,True,False,False,False
45,2021-11-12 13:11:21.448013300+00:00,1623.800048828125,Kgal,True,False,False,False
46,2021-11-12 13:11:30.355010900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
47,2021-11-12 13:11:31.402008+00:00,1623.800048828125,Kgal,True,False,False,False
48,2021-11-12 14:36:41.413009600+00:00,1624.4000244140625,Kgal,True,False,False,False
49,2021-11-12 20:50:46.331008900+00:00,1626.0,Kgal,True,False,False,False
50,2021-11-13 04:47:21.381011900+00:00,1627.300048828125,Kgal,True,False,False,False
51,2021-11-13 12:38:01.358001700+00:00,1628.300048828125,Kgal,True,False,False,False
52,2021-11-13 19:25:41.388000400+00:00,1629.4000244140625,Kgal,True,False,False,False
53,2021-11-14 03:23:36.395004200+00:00,1630.5999755859375,Kgal,True,False,False,False
54,2021-11-14 11:11:21.392013500+00:00,1631.5999755859375,Kgal,True,False,False,False
55,2021-11-14 11:11:30.314010600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
56,2021-11-14 11:11:31.408004700+00:00,1631.5999755859375,Kgal,True,False,False,False
57,2021-11-14 19:06:31.414001400+00:00,1632.5999755859375,Kgal,True,False,False,False
58,2021-11-15 03:06:01.496002100+00:00,1633.699951171875,Kgal,True,False,False,False
59,2021-11-15 10:59:11.476013100+00:00,1634.699951171875,Kgal,True,False,False,False
60,2021-11-15 16:14:21.362014700+00:00,1635.800048828125,Kgal,True,False,False,False
61,2021-11-15 23:22:11.448013300+00:00,1637.4000244140625,Kgal,True,False,False,False
62,2021-11-16 07:21:21.560012800+00:00,1638.5999755859375,Kgal,True,False,False,False
63,2021-11-16 14:02:26.486007600+00:00,1639.5999755859375,Kgal,True,False,False,False
64,2021-11-16 21:58:46.404006900+00:00,1641.5999755859375,Kgal,True,False,False,False
65,2021-11-17 01:52:56.400009100+00:00,1642.300048828125,Kgal,True,False,False,False
66,2021-11-17 01:53:05.384002600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
67,2021-11-17 01:53:06.369003200+00:00,1642.300048828125,Kgal,True,False,False,False
68,2021-11-17 03:09:36.505004800+00:00,1642.5,Kgal,True,False,False,False
69,2021-11-17 03:09:53.240005400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
70,2021-11-17 03:10:56.473007200+00:00,1642.5,Kgal,True,False,False,False
71,2021-11-17 11:10:01.541000300+00:00,1643.800048828125,Kgal,True,False,False,False
72,2021-11-17 16:23:41.719009300+00:00,1645.0999755859375,Kgal,True,False,False,False
73,2021-11-17 20:06:46.376007+00:00,1646.199951171875,Kgal,True,False,False,False
74,2021-11-18 02:50:11.580001800+00:00,1647.5,Kgal,True,False,False,False
75,2021-11-18 10:41:51.515014600+00:00,1648.800048828125,Kgal,True,False,False,False
76,2021-11-18 13:57:16.502014100+00:00,1650.0,Kgal,True,False,False,False
77,2021-11-18 13:57:25.548004100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
78,2021-11-18 13:57:26.501007+00:00,1650.0,Kgal,True,False,False,False
79,2021-11-18 21:50:06.531005800+00:00,1652.0999755859375,Kgal,True,False,False,False
80,2021-11-19 05:45:36.554000800+00:00,1653.300048828125,Kgal,True,False,False,False
