,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 01:01:28.478012+00:00,17500.400390625,Kgal,True,False,False,False
1,2021-11-06 01:57:43.442001300+00:00,17502.19921875,Kgal,True,False,False,False
2,2021-11-06 02:52:03.468002300+00:00,17504.400390625,Kgal,True,False,False,False
3,2021-11-06 03:50:33.523010200+00:00,17506.599609375,Kgal,True,False,False,False
4,2021-11-06 04:28:38.562011700+00:00,17508.30078125,Kgal,True,False,False,False
5,2021-11-06 05:24:28.459014800+00:00,17510.0,Kgal,True,False,False,False
6,2021-11-06 06:03:03.535003600+00:00,17511.5,Kgal,True,False,False,False
7,2021-11-06 07:03:18.487014700+00:00,17512.69921875,Kgal,True,False,False,False
8,2021-11-06 08:43:48.482009800+00:00,17513.69921875,Kgal,True,False,False,False
9,2021-11-06 12:00:58.439010600+00:00,17514.80078125,Kgal,True,False,False,False
10,2021-11-06 12:39:43.447006200+00:00,17515.5,Kgal,True,False,False,False
11,2021-11-06 12:39:52.431015+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
12,2021-11-06 12:39:53.462005600+00:00,17515.5,Kgal,True,False,False,False
13,2021-11-06 13:56:53.476013100+00:00,17517.5,Kgal,True,False,False,False
14,2021-11-06 14:35:18.506011900+00:00,17518.900390625,Kgal,True,False,False,False
15,2021-11-06 15:17:18.463012600+00:00,17520.80078125,Kgal,True,False,False,False
16,2021-11-06 15:54:53.510009700+00:00,17522.69921875,Kgal,True,False,False,False
17,2021-11-06 16:18:23.524002+00:00,17524.400390625,Kgal,True,False,False,False
18,2021-11-06 17:04:38.512008600+00:00,17526.900390625,Kgal,True,False,False,False
19,2021-11-06 18:01:13.520004200+00:00,17529.599609375,Kgal,True,False,False,False
20,2021-11-06 18:35:43.452011100+00:00,17531.400390625,Kgal,True,False,False,False
21,2021-11-06 19:15:38.584014800+00:00,17533.0,Kgal,True,False,False,False
22,2021-11-06 19:46:23.429000800+00:00,17533.900390625,Kgal,True,False,False,False
23,2021-11-06 20:31:38.477005+00:00,17535.69921875,Kgal,True,False,False,False
24,2021-11-06 22:37:18.456008900+00:00,17540.400390625,Kgal,True,False,False,False
25,2021-11-06 23:24:23.458007800+00:00,17541.80078125,Kgal,True,False,False,False
26,2021-11-06 23:53:03.455001800+00:00,17542.900390625,Kgal,True,False,False,False
27,2021-11-07 00:38:48.479003900+00:00,17544.900390625,Kgal,True,False,False,False
28,2021-11-07 01:06:23.483001700+00:00,17545.69921875,Kgal,True,False,False,False
29,2021-11-07 02:02:33.476013100+00:00,17547.69921875,Kgal,True,False,False,False
30,2021-11-07 02:02:42.428009+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
31,2021-11-07 02:02:43.460006700+00:00,17547.69921875,Kgal,True,False,False,False
32,2021-11-07 02:47:08.434005700+00:00,17549.30078125,Kgal,True,False,False,False
33,2021-11-07 03:03:03.542007400+00:00,17551.5,Kgal,True,False,False,False
34,2021-11-07 03:32:43.546005200+00:00,17553.19921875,Kgal,True,False,False,False
35,2021-11-07 03:32:52.421005200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
36,2021-11-07 03:32:53.548004100+00:00,17553.19921875,Kgal,True,False,False,False
37,2021-11-07 04:02:53.539001400+00:00,17555.400390625,Kgal,True,False,False,False
38,2021-11-07 04:17:13.477005+00:00,17557.5,Kgal,True,False,False,False
39,2021-11-07 04:58:23.494003200+00:00,17558.80078125,Kgal,True,False,False,False
40,2021-11-07 05:17:48.472000100+00:00,17559.5,Kgal,True,False,False,False
41,2021-11-07 05:30:43.441009500+00:00,17559.80078125,Kgal,True,False,False,False
