,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 07:30:18.088012600+00:00,12408.400390625,Kgal,True,False,False,False
1,2021-11-06 15:26:38.081008900+00:00,12408.599609375,Kgal,True,False,False,False
2,2021-11-06 23:23:48.131011900+00:00,12408.7001953125,Kgal,True,False,False,False
3,2021-11-07 05:30:43.098007200+00:00,12408.7998046875,Kgal,True,False,False,False
4,2021-11-07 05:30:52.145004200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
5,2021-11-07 05:34:50.100006100+00:00,12408.7998046875,Kgal,True,False,False,False
6,2021-11-07 13:34:25.080001800+00:00,12408.900390625,Kgal,True,False,False,False
7,2021-11-07 21:28:55.092010400+00:00,12408.900390625,Kgal,True,False,False,False
8,2021-11-08 05:20:45.087005600+00:00,12409.099609375,Kgal,True,False,False,False
9,2021-11-08 13:19:15.087005600+00:00,12409.2998046875,Kgal,True,False,False,False
10,2021-11-08 21:16:10.082000700+00:00,12409.400390625,Kgal,True,False,False,False
11,2021-11-08 21:37:59.040008500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
12,2021-11-08 21:38:36.384002600+00:00,12409.400390625,Kgal,True,False,False,False
13,2021-11-08 22:04:19.039001400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
14,2021-11-08 22:04:56.382003700+00:00,12409.400390625,Kgal,True,False,False,False
15,2021-11-08 22:05:19.066009500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
16,2021-11-08 22:05:23.587005600+00:00,12409.400390625,Kgal,True,False,False,False
17,2021-11-08 22:29:17.042007400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
18,2021-11-08 22:29:54.416000300+00:00,12409.400390625,Kgal,True,False,False,False
19,2021-11-08 23:04:04.163009600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
20,2021-11-08 23:04:10.937011700+00:00,12409.400390625,Kgal,True,False,False,False
21,2021-11-08 23:05:17.093002300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
22,2021-11-08 23:05:23.573013300+00:00,12409.400390625,Kgal,True,False,False,False
23,2021-11-09 00:09:32.165008500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
24,2021-11-09 00:12:43.112014700+00:00,12409.400390625,Kgal,True,False,False,False
25,2021-11-09 08:10:43.106002800+00:00,12409.599609375,Kgal,True,False,False,False
26,2021-11-09 16:06:53.090011500+00:00,12409.900390625,Kgal,True,False,False,False
27,2021-11-10 00:04:16.094009300+00:00,12410.0,Kgal,True,False,False,False
28,2021-11-10 08:02:46.081008900+00:00,12410.2001953125,Kgal,True,False,False,False
29,2021-11-10 15:57:06.091003400+00:00,12410.900390625,Kgal,True,False,False,False
