,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 04:38:13.214004500+00:00,613.0999755859375,Kgal,True,False,False,False
1,2021-11-06 12:32:58.193008400+00:00,613.0999755859375,Kgal,True,False,False,False
2,2021-11-06 20:32:28.198013300+00:00,613.0999755859375,Kgal,True,False,False,False
3,2021-11-07 04:27:53.201004+00:00,613.0999755859375,Kgal,True,False,False,False
4,2021-11-07 05:31:29.626007+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
5,2021-11-07 05:34:50.195007300+00:00,613.0999755859375,Kgal,True,False,False,False
6,2021-11-07 05:36:56.208007800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
7,2021-11-07 05:36:56.380004800+00:00,613.0999755859375,Kgal,True,False,False,False
8,2021-11-07 13:29:20.209014800+00:00,613.0999755859375,Kgal,True,False,False,False
9,2021-11-07 21:27:40.217010400+00:00,613.2000122070312,Kgal,True,False,False,False
10,2021-11-08 05:23:30.213012600+00:00,613.2000122070312,Kgal,True,False,False,False
11,2021-11-08 12:54:35.194000200+00:00,613.4000244140625,Kgal,True,False,False,False
12,2021-11-08 20:00:30.213012600+00:00,614.0999755859375,Kgal,True,False,False,False
13,2021-11-08 21:17:25.159011800+00:00,614.2000122070312,Kgal,True,False,False,False
14,2021-11-08 21:18:11.189010600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
15,2021-11-08 21:18:11.375000+00:00,614.2000122070312,Kgal,True,False,False,False
16,2021-11-08 21:23:46.205001800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
17,2021-11-08 21:23:46.377014100+00:00,614.2000122070312,Kgal,True,False,False,False
18,2021-11-08 21:29:21.222000100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
19,2021-11-08 21:29:21.410003600+00:00,614.2000122070312,Kgal,True,False,False,False
20,2021-11-08 21:34:51.193008400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
21,2021-11-08 21:34:51.365005400+00:00,614.2000122070312,Kgal,True,False,False,False
