,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 02:28:23.369003200+00:00,54862.3984375,Kgal,True,False,False,False
1,2021-11-06 05:46:28.339004500+00:00,54864.19921875,Kgal,True,False,False,False
2,2021-11-06 08:24:28.363006500+00:00,54864.8984375,Kgal,True,False,False,False
3,2021-11-06 13:04:03.347000100+00:00,54865.80078125,Kgal,True,False,False,False
4,2021-11-06 14:16:43.356002800+00:00,54866.6015625,Kgal,True,False,False,False
5,2021-11-06 16:38:33.361007600+00:00,54868.5,Kgal,True,False,False,False
6,2021-11-06 19:58:03.330001800+00:00,54870.8984375,Kgal,True,False,False,False
7,2021-11-07 00:29:43.331008900+00:00,54873.30078125,Kgal,True,False,False,False
8,2021-11-07 01:43:08.350006100+00:00,54874.0,Kgal,True,False,False,False
9,2021-11-07 03:14:58.640014600+00:00,54874.80078125,Kgal,True,False,False,False
10,2021-11-07 05:30:43.363006500+00:00,54876.19921875,Kgal,True,False,False,False
11,2021-11-07 05:31:29.582000700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
12,2021-11-07 05:33:25.332000700+00:00,54876.30078125,Kgal,True,False,False,False
13,2021-11-07 08:47:00.376007+00:00,54877.19921875,Kgal,True,False,False,False
14,2021-11-07 13:22:00.340011500+00:00,54878.1015625,Kgal,True,False,False,False
15,2021-11-07 15:20:25.331008900+00:00,54879.19921875,Kgal,True,False,False,False
16,2021-11-07 15:46:20.336013700+00:00,54880.1015625,Kgal,True,False,False,False
17,2021-11-07 16:32:25.368011400+00:00,54881.3984375,Kgal,True,False,False,False
18,2021-11-07 16:37:55.353012+00:00,54881.80078125,Kgal,True,False,False,False
19,2021-11-07 18:33:40.341003400+00:00,54883.3984375,Kgal,True,False,False,False
20,2021-11-07 20:47:35.340011500+00:00,54884.8984375,Kgal,True,False,False,False
21,2021-11-08 02:09:25.366012500+00:00,54888.19921875,Kgal,True,False,False,False
22,2021-11-08 04:29:55.357009800+00:00,54890.0,Kgal,True,False,False,False
23,2021-11-08 05:51:05.343002300+00:00,54890.8984375,Kgal,True,False,False,False
24,2021-11-08 09:26:35.342010400+00:00,54891.80078125,Kgal,True,False,False,False
25,2021-11-08 12:00:55.381011900+00:00,54892.5,Kgal,True,False,False,False
26,2021-11-08 12:33:35.361007600+00:00,54893.19921875,Kgal,True,False,False,False
27,2021-11-08 13:47:30.375000+00:00,54894.1015625,Kgal,True,False,False,False
28,2021-11-08 15:34:05.349014200+00:00,54896.1015625,Kgal,True,False,False,False
29,2021-11-08 16:33:55.376007+00:00,54897.0,Kgal,True,False,False,False
30,2021-11-08 17:43:30.353012+00:00,54898.3984375,Kgal,True,False,False,False
31,2021-11-08 20:04:55.337005600+00:00,54900.80078125,Kgal,True,False,False,False
32,2021-11-08 23:54:53.367004300+00:00,54903.5,Kgal,True,False,False,False
33,2021-11-09 00:04:58.357009800+00:00,54903.69921875,Kgal,True,False,False,False
34,2021-11-09 00:10:31.411010700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
35,2021-11-09 00:12:05.395004200+00:00,54903.69921875,Kgal,True,False,False,False
36,2021-11-09 01:55:43.347000100+00:00,54905.30078125,Kgal,True,False,False,False
37,2021-11-09 04:07:28.353012+00:00,54906.69921875,Kgal,True,False,False,False
38,2021-11-09 05:06:43.366012500+00:00,54907.80078125,Kgal,True,False,False,False
39,2021-11-09 07:23:33.349014200+00:00,54908.8984375,Kgal,True,False,False,False
40,2021-11-09 08:07:03.362014700+00:00,54909.80078125,Kgal,True,False,False,False
41,2021-11-09 08:37:13.354003900+00:00,54910.3984375,Kgal,True,False,False,False
42,2021-11-09 09:11:18.342010400+00:00,54910.80078125,Kgal,True,False,False,False
43,2021-11-09 12:01:13.341003400+00:00,54911.6015625,Kgal,True,False,False,False
44,2021-11-09 13:35:38.344009300+00:00,54913.1015625,Kgal,True,False,False,False
45,2021-11-09 15:03:23.359008700+00:00,54915.1015625,Kgal,True,False,False,False
46,2021-11-09 16:40:21.331008900+00:00,54916.69921875,Kgal,True,False,False,False
47,2021-11-09 17:12:21.342010400+00:00,54917.5,Kgal,True,False,False,False
48,2021-11-09 19:44:01.356002800+00:00,54919.69921875,Kgal,True,False,False,False
49,2021-11-09 21:24:46.373001+00:00,54921.30078125,Kgal,True,False,False,False
50,2021-11-10 00:45:31.556015+00:00,54923.8984375,Kgal,True,False,False,False
51,2021-11-10 03:53:26.356002800+00:00,54926.69921875,Kgal,True,False,False,False
52,2021-11-10 05:44:01.338012600+00:00,54928.30078125,Kgal,True,False,False,False
53,2021-11-10 07:04:16.356002800+00:00,54929.0,Kgal,True,False,False,False
54,2021-11-10 12:12:06.333007800+00:00,54930.30078125,Kgal,True,False,False,False
55,2021-11-10 12:28:01.356002800+00:00,54930.80078125,Kgal,True,False,False,False
56,2021-11-10 13:39:41.351013100+00:00,54931.69921875,Kgal,True,False,False,False
57,2021-11-10 17:37:26.340011500+00:00,54935.69921875,Kgal,True,False,False,False
58,2021-11-10 19:03:56.346008300+00:00,54936.8984375,Kgal,True,False,False,False
59,2021-11-10 20:33:41.340011500+00:00,54938.69921875,Kgal,True,False,False,False
60,2021-11-10 20:48:06.358001700+00:00,54939.19921875,Kgal,True,False,False,False
61,2021-11-10 21:43:16.361007600+00:00,54940.19921875,Kgal,True,False,False,False
62,2021-11-10 21:49:21.334014800+00:00,54940.6015625,Kgal,True,False,False,False
63,2021-11-11 01:59:01.353012+00:00,54943.3984375,Kgal,True,False,False,False
64,2021-11-11 04:33:01.352005+00:00,54945.8984375,Kgal,True,False,False,False
65,2021-11-11 06:11:21.355010900+00:00,54947.1015625,Kgal,True,False,False,False
66,2021-11-11 08:22:56.344009300+00:00,54947.80078125,Kgal,True,False,False,False
67,2021-11-11 12:04:46.370010300+00:00,54948.6015625,Kgal,True,False,False,False
68,2021-11-11 14:51:11.493011400+00:00,54951.3984375,Kgal,True,False,False,False
69,2021-11-11 16:45:16.346008300+00:00,54953.3984375,Kgal,True,False,False,False
70,2021-11-11 19:32:31.510009700+00:00,54956.0,Kgal,True,False,False,False
71,2021-11-11 20:05:11.496002100+00:00,54956.69921875,Kgal,True,False,False,False
72,2021-11-11 20:56:06.336013700+00:00,54957.5,Kgal,True,False,False,False
73,2021-11-12 00:06:26.363006500+00:00,54960.0,Kgal,True,False,False,False
74,2021-11-12 01:36:06.362014700+00:00,54961.1015625,Kgal,True,False,False,False
75,2021-11-12 04:03:56.368011400+00:00,54962.8984375,Kgal,True,False,False,False
76,2021-11-12 05:28:01.366012500+00:00,54964.30078125,Kgal,True,False,False,False
77,2021-11-12 08:29:01.332000700+00:00,54965.3984375,Kgal,True,False,False,False
78,2021-11-12 11:47:16.338012600+00:00,54966.1015625,Kgal,True,False,False,False
79,2021-11-12 12:19:41.332000700+00:00,54966.80078125,Kgal,True,False,False,False
80,2021-11-12 13:27:21.354003900+00:00,54968.69921875,Kgal,True,False,False,False
81,2021-11-12 13:40:06.321014400+00:00,54969.19921875,Kgal,True,False,False,False
82,2021-11-12 16:08:16.333007800+00:00,54971.5,Kgal,True,False,False,False
83,2021-11-12 17:11:11.568008400+00:00,54972.69921875,Kgal,True,False,False,False
84,2021-11-12 19:28:46.356002800+00:00,54975.0,Kgal,True,False,False,False
85,2021-11-12 20:11:56.419006300+00:00,54976.0,Kgal,True,False,False,False
86,2021-11-12 21:29:01.337005600+00:00,54977.19921875,Kgal,True,False,False,False
87,2021-11-12 22:42:36.337005600+00:00,54978.30078125,Kgal,True,False,False,False
88,2021-11-13 00:59:31.509002600+00:00,54979.8984375,Kgal,True,False,False,False
89,2021-11-13 02:04:21.331008900+00:00,54981.0,Kgal,True,False,False,False
90,2021-11-13 05:40:51.533004700+00:00,54982.69921875,Kgal,True,False,False,False
91,2021-11-13 06:44:51.579010+00:00,54983.3984375,Kgal,True,False,False,False
92,2021-11-13 11:36:01.359008700+00:00,54984.69921875,Kgal,True,False,False,False
93,2021-11-13 14:25:11.615005400+00:00,54985.5,Kgal,True,False,False,False
94,2021-11-13 18:28:06.357009800+00:00,54988.8984375,Kgal,True,False,False,False
95,2021-11-13 21:19:06.339004500+00:00,54990.3984375,Kgal,True,False,False,False
96,2021-11-14 00:28:01.323013300+00:00,54991.69921875,Kgal,True,False,False,False
97,2021-11-14 04:18:36.396011300+00:00,54994.19921875,Kgal,True,False,False,False
98,2021-11-14 07:42:16.392013500+00:00,54995.80078125,Kgal,True,False,False,False
99,2021-11-14 09:30:36.349014200+00:00,54996.30078125,Kgal,True,False,False,False
