,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 04:31:23.712005600+00:00,5618.7001953125,Kgal,True,False,False,False
1,2021-11-06 06:04:02.707000700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
2,2021-11-06 06:04:03.769012400+00:00,5618.7001953125,Kgal,True,False,False,False
3,2021-11-06 13:56:18.787002500+00:00,5618.7001953125,Kgal,True,False,False,False
4,2021-11-06 15:42:52.705001800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
5,2021-11-06 15:42:53.751007+00:00,5618.7001953125,Kgal,True,False,False,False
6,2021-11-06 17:59:12.765014600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
7,2021-11-06 17:59:13.827011100+00:00,5618.7001953125,Kgal,True,False,False,False
8,2021-11-07 01:51:53.781005800+00:00,5618.7001953125,Kgal,True,False,False,False
9,2021-11-07 05:31:29.800003+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
10,2021-11-07 05:34:25.785003600+00:00,5618.7001953125,Kgal,True,False,False,False
11,2021-11-07 08:00:44.695007300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
12,2021-11-07 08:00:45.742004300+00:00,5618.7001953125,Kgal,True,False,False,False
13,2021-11-07 09:19:44.663009600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
14,2021-11-07 09:19:45.742004300+00:00,5618.7001953125,Kgal,True,False,False,False
15,2021-11-07 12:24:14.739013600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
16,2021-11-07 12:24:15.832000700+00:00,5618.7001953125,Kgal,True,False,False,False
17,2021-11-07 20:16:35.740005400+00:00,5618.7001953125,Kgal,True,False,False,False
18,2021-11-07 22:45:59.717010400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
19,2021-11-07 22:46:00.811004600+00:00,5618.7001953125,Kgal,True,False,False,False
20,2021-11-07 22:46:14.718002300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
21,2021-11-07 22:46:15.764007500+00:00,5618.7001953125,Kgal,True,False,False,False
22,2021-11-08 02:21:09.712005600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
23,2021-11-08 02:21:10.773010200+00:00,5618.7001953125,Kgal,True,False,False,False
24,2021-11-08 10:13:25.807006800+00:00,5618.7001953125,Kgal,True,False,False,False
25,2021-11-08 16:34:00.763000400+00:00,5618.7998046875,Kgal,True,False,False,False
26,2021-11-08 16:34:09.701004+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
27,2021-11-08 16:34:10.747009200+00:00,5618.7998046875,Kgal,True,False,False,False
28,2021-11-08 22:59:10.747009200+00:00,5619.0,Kgal,True,False,False,False
29,2021-11-08 23:05:09.087005600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
30,2021-11-08 23:05:43.744003200+00:00,5619.0,Kgal,True,False,False,False
31,2021-11-09 00:10:31.612014700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
32,2021-11-09 00:12:05.799011200+00:00,5619.0,Kgal,True,False,False,False
33,2021-11-09 02:52:37.781005800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
34,2021-11-09 02:52:38.779006900+00:00,5619.0,Kgal,True,False,False,False
35,2021-11-09 10:44:43.769012400+00:00,5619.0,Kgal,True,False,False,False
36,2021-11-09 14:50:23.688003500+00:00,5619.10009765625,Kgal,True,False,False,False
37,2021-11-09 14:50:32.704010+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
38,2021-11-09 14:50:33.703002900+00:00,5619.10009765625,Kgal,True,False,False,False
39,2021-11-09 21:56:06.739013600+00:00,5619.39990234375,Kgal,True,False,False,False
40,2021-11-09 21:56:15.708007800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
41,2021-11-09 21:56:16.739013600+00:00,5619.39990234375,Kgal,True,False,False,False
42,2021-11-10 01:45:45.693008400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
43,2021-11-10 01:45:46.740005400+00:00,5619.39990234375,Kgal,True,False,False,False
44,2021-11-10 08:30:15.704010+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
45,2021-11-10 08:30:16.735000600+00:00,5619.39990234375,Kgal,True,False,False,False
46,2021-11-10 10:39:05.706008900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
47,2021-11-10 10:39:06.738006500+00:00,5619.39990234375,Kgal,True,False,False,False
48,2021-11-10 11:24:20.727005+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
49,2021-11-10 11:24:21.726013100+00:00,5619.39990234375,Kgal,True,False,False,False
50,2021-11-10 14:40:30.750000+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
51,2021-11-10 14:40:31.749008100+00:00,5619.39990234375,Kgal,True,False,False,False
52,2021-11-10 18:43:26.724014200+00:00,5619.7001953125,Kgal,True,False,False,False
53,2021-11-10 18:43:35.679000800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
54,2021-11-10 18:43:36.724014200+00:00,5619.7001953125,Kgal,True,False,False,False
55,2021-11-11 02:35:51.724014200+00:00,5619.7001953125,Kgal,True,False,False,False
56,2021-11-11 07:33:10.694000200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
57,2021-11-11 07:33:11.787002500+00:00,5619.7001953125,Kgal,True,False,False,False
58,2021-11-11 15:27:41.699005100+00:00,5619.7998046875,Kgal,True,False,False,False
59,2021-11-11 21:04:41.746002100+00:00,5620.10009765625,Kgal,True,False,False,False
60,2021-11-11 21:04:50.707000700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
61,2021-11-11 21:04:51.746002100+00:00,5620.10009765625,Kgal,True,False,False,False
62,2021-11-12 02:15:55.738006500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
63,2021-11-12 02:15:56.768005300+00:00,5620.10009765625,Kgal,True,False,False,False
64,2021-11-12 03:35:55.737014700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
65,2021-11-12 03:35:56.783004700+00:00,5620.10009765625,Kgal,True,False,False,False
66,2021-11-12 04:14:40.674011200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
67,2021-11-12 04:14:41.720001200+00:00,5620.10009765625,Kgal,True,False,False,False
68,2021-11-12 05:17:40.738006500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
69,2021-11-12 05:17:41.768005300+00:00,5620.10009765625,Kgal,True,False,False,False
70,2021-11-12 13:10:06.791000300+00:00,5620.10009765625,Kgal,True,False,False,False
71,2021-11-12 18:32:26.735000600+00:00,5620.39990234375,Kgal,True,False,False,False
72,2021-11-12 18:32:35.673004100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
73,2021-11-12 18:32:36.719009300+00:00,5620.39990234375,Kgal,True,False,False,False
74,2021-11-13 02:32:31.839004500+00:00,5620.5,Kgal,True,False,False,False
75,2021-11-13 03:19:30.674011200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
76,2021-11-13 03:19:31.767013500+00:00,5620.5,Kgal,True,False,False,False
77,2021-11-13 11:11:46.809005700+00:00,5620.5,Kgal,True,False,False,False
78,2021-11-13 16:26:10.715011500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
79,2021-11-13 16:26:11.746002100+00:00,5620.5,Kgal,True,False,False,False
80,2021-11-13 22:28:50.722000100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
81,2021-11-13 22:28:51.800003+00:00,5620.5,Kgal,True,False,False,False
82,2021-11-14 04:30:45.750000+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
83,2021-11-14 04:30:46.780014+00:00,5620.5,Kgal,True,False,False,False
84,2021-11-14 11:55:20.683013900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
85,2021-11-14 11:55:21.791000300+00:00,5620.5,Kgal,True,False,False,False
86,2021-11-14 13:05:05.681015+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
87,2021-11-14 13:05:06.758010800+00:00,5620.5,Kgal,True,False,False,False
88,2021-11-14 20:57:21.712005600+00:00,5620.5,Kgal,True,False,False,False
89,2021-11-15 04:49:16.779006900+00:00,5620.5,Kgal,True,False,False,False
90,2021-11-15 12:42:26.765014600+00:00,5620.60009765625,Kgal,True,False,False,False
91,2021-11-15 14:23:40.817001300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
92,2021-11-15 14:23:41.863006500+00:00,5620.60009765625,Kgal,True,False,False,False
93,2021-11-15 18:23:26.770004200+00:00,5620.7001953125,Kgal,True,False,False,False
94,2021-11-15 18:23:35.739013600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
95,2021-11-15 18:23:36.785003600+00:00,5620.7001953125,Kgal,True,False,False,False
96,2021-11-15 23:47:41.709014800+00:00,5620.89990234375,Kgal,True,False,False,False
97,2021-11-15 23:47:50.725006100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
98,2021-11-15 23:47:51.740005400+00:00,5620.89990234375,Kgal,True,False,False,False
99,2021-11-16 07:39:56.749008100+00:00,5620.89990234375,Kgal,True,False,False,False
100,2021-11-16 08:03:40.706008900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
101,2021-11-16 08:03:41.736007600+00:00,5620.89990234375,Kgal,True,False,False,False
102,2021-11-16 10:17:15.751007+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
103,2021-11-16 10:17:16.875000+00:00,5620.89990234375,Kgal,True,False,False,False
104,2021-11-16 12:54:45.684005700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
105,2021-11-16 12:54:46.808013900+00:00,5620.89990234375,Kgal,True,False,False,False
106,2021-11-16 13:21:15.762008600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
107,2021-11-16 13:21:16.761001500+00:00,5620.89990234375,Kgal,True,False,False,False
108,2021-11-16 21:13:36.789001400+00:00,5621.2001953125,Kgal,True,False,False,False
109,2021-11-17 01:01:10.668014500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
110,2021-11-17 01:01:11.745010300+00:00,5621.2001953125,Kgal,True,False,False,False
111,2021-11-17 03:10:23.566009500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
112,2021-11-17 03:11:26.786010700+00:00,5621.2001953125,Kgal,True,False,False,False
113,2021-11-17 11:05:26.770004200+00:00,5621.2998046875,Kgal,True,False,False,False
114,2021-11-17 17:54:26.774002+00:00,5621.5,Kgal,True,False,False,False
115,2021-11-17 17:54:35.712005600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
116,2021-11-17 17:54:36.727005+00:00,5621.5,Kgal,True,False,False,False
117,2021-11-18 01:51:16.787002500+00:00,5621.60009765625,Kgal,True,False,False,False
118,2021-11-18 09:49:11.751007+00:00,5621.60009765625,Kgal,True,False,False,False
119,2021-11-18 13:00:20.691009500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
120,2021-11-18 13:00:21.721008300+00:00,5621.60009765625,Kgal,True,False,False,False
121,2021-11-18 20:56:21.804000800+00:00,5622.0,Kgal,True,False,False,False
122,2021-11-19 04:55:01.699005100+00:00,5622.0,Kgal,True,False,False,False
123,2021-11-19 12:48:46.758010800+00:00,5622.10009765625,Kgal,True,False,False,False
124,2021-11-19 14:38:15.721008300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
125,2021-11-19 14:38:16.955001800+00:00,5622.10009765625,Kgal,True,False,False,False
126,2021-11-19 14:40:10.691009500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
127,2021-11-19 14:40:11.752014100+00:00,5622.10009765625,Kgal,True,False,False,False
128,2021-11-19 20:29:46.767013500+00:00,5622.2998046875,Kgal,True,False,False,False
129,2021-11-19 20:29:55.690002400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
130,2021-11-19 20:29:57.002014100+00:00,5622.2998046875,Kgal,True,False,False,False
131,2021-11-20 00:22:25.704010+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
132,2021-11-20 00:22:26.750000+00:00,5622.2998046875,Kgal,True,False,False,False
133,2021-11-20 05:51:55.719009300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
134,2021-11-20 05:51:56.953002900+00:00,5622.2998046875,Kgal,True,False,False,False
135,2021-11-20 08:57:15.707000700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
136,2021-11-20 08:57:16.894012400+00:00,5622.2998046875,Kgal,True,False,False,False
137,2021-11-20 11:55:40.843002300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
138,2021-11-20 11:55:41.791000300+00:00,5622.2998046875,Kgal,True,False,False,False
139,2021-11-20 16:42:05.731002800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
140,2021-11-20 16:42:06.746002100+00:00,5622.2998046875,Kgal,True,False,False,False
141,2021-11-21 00:07:36.740005400+00:00,5622.39990234375,Kgal,True,False,False,False
142,2021-11-21 00:07:45.694000200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
143,2021-11-21 00:07:46.709014800+00:00,5622.39990234375,Kgal,True,False,False,False
144,2021-11-21 07:59:46.757003700+00:00,5622.39990234375,Kgal,True,False,False,False
145,2021-11-21 10:35:35.719009300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
146,2021-11-21 10:35:36.718002300+00:00,5622.39990234375,Kgal,True,False,False,False
147,2021-11-21 11:31:55.705001800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
148,2021-11-21 11:31:56.735000600+00:00,5622.39990234375,Kgal,True,False,False,False
149,2021-11-21 19:24:01.761001500+00:00,5622.39990234375,Kgal,True,False,False,False
150,2021-11-22 03:16:21.814010600+00:00,5622.39990234375,Kgal,True,False,False,False
151,2021-11-22 11:09:01.781005800+00:00,5622.39990234375,Kgal,True,False,False,False
152,2021-11-22 15:13:45.696014400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
153,2021-11-22 15:13:46.726013100+00:00,5622.39990234375,Kgal,True,False,False,False
154,2021-11-22 23:06:21.805007900+00:00,5622.7001953125,Kgal,True,False,False,False
155,2021-11-23 03:34:05.661010700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
156,2021-11-23 03:34:06.785003600+00:00,5622.7001953125,Kgal,True,False,False,False
157,2021-11-23 09:20:45.681015+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
158,2021-11-23 09:20:46.738006500+00:00,5622.7001953125,Kgal,True,False,False,False
159,2021-11-23 12:23:10.747009200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
160,2021-11-23 12:23:11.793014500+00:00,5622.7001953125,Kgal,True,False,False,False
161,2021-11-23 20:15:21.766006400+00:00,5623.0,Kgal,True,False,False,False
162,2021-11-24 04:07:21.722000100+00:00,5623.0,Kgal,True,False,False,False
163,2021-11-24 11:59:26.827011100+00:00,5623.0,Kgal,True,False,False,False
164,2021-11-24 13:04:00.714004500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
165,2021-11-24 13:04:01.761001500+00:00,5623.0,Kgal,True,False,False,False
166,2021-11-24 20:56:16.722000100+00:00,5623.2001953125,Kgal,True,False,False,False
167,2021-11-25 04:48:06.768005300+00:00,5623.2001953125,Kgal,True,False,False,False
168,2021-11-25 10:37:55.726013100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
169,2021-11-25 10:37:56.726013100+00:00,5623.2001953125,Kgal,True,False,False,False
170,2021-11-25 12:00:25.683013900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
171,2021-11-25 12:00:26.823013300+00:00,5623.2001953125,Kgal,True,False,False,False
172,2021-11-25 16:57:55.709014800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
173,2021-11-25 16:57:56.771011300+00:00,5623.2001953125,Kgal,True,False,False,False
174,2021-11-25 17:41:55.713012600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
175,2021-11-25 17:41:56.774002+00:00,5623.2001953125,Kgal,True,False,False,False
176,2021-11-25 18:18:15.723007200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
177,2021-11-25 18:18:16.753005900+00:00,5623.2001953125,Kgal,True,False,False,False
178,2021-11-26 02:10:21.791000300+00:00,5623.2001953125,Kgal,True,False,False,False
179,2021-11-26 10:02:51.797012300+00:00,5623.2001953125,Kgal,True,False,False,False
180,2021-11-26 15:10:55.685012800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
181,2021-11-26 15:10:56.747009200+00:00,5623.2001953125,Kgal,True,False,False,False
182,2021-11-26 22:43:20.708007800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
183,2021-11-26 22:43:21.754013+00:00,5623.2001953125,Kgal,True,False,False,False
184,2021-11-27 03:32:10.718002300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
185,2021-11-27 03:32:11.764007500+00:00,5623.2001953125,Kgal,True,False,False,False
186,2021-11-27 03:49:00.694000200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
187,2021-11-27 03:49:01.803009+00:00,5623.2001953125,Kgal,True,False,False,False
188,2021-11-27 11:41:11.746002100+00:00,5623.2001953125,Kgal,True,False,False,False
189,2021-11-27 17:49:00.704010+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
190,2021-11-27 17:49:01.765014600+00:00,5623.2001953125,Kgal,True,False,False,False
191,2021-11-28 01:40:56.753005900+00:00,5623.2001953125,Kgal,True,False,False,False
192,2021-11-28 09:02:35.714004500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
193,2021-11-28 09:02:36.714004500+00:00,5623.2001953125,Kgal,True,False,False,False
194,2021-11-28 10:20:50.730010900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
195,2021-11-28 10:20:51.792007400+00:00,5623.2001953125,Kgal,True,False,False,False
196,2021-11-28 17:23:45.694000200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
197,2021-11-28 17:23:46.755004800+00:00,5623.2001953125,Kgal,True,False,False,False
198,2021-11-28 18:32:35.692001300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
199,2021-11-28 18:32:36.769012400+00:00,5623.2001953125,Kgal,True,False,False,False
200,2021-11-29 02:24:46.750000+00:00,5623.2001953125,Kgal,True,False,False,False
201,2021-11-29 07:59:05.697006200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
202,2021-11-29 07:59:06.743011400+00:00,5623.2001953125,Kgal,True,False,False,False
203,2021-11-29 11:24:35.729003900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
204,2021-11-29 11:24:36.807006800+00:00,5623.2001953125,Kgal,True,False,False,False
205,2021-11-29 13:56:06.749008100+00:00,5623.2998046875,Kgal,True,False,False,False
206,2021-11-29 13:56:15.687011700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
207,2021-11-29 13:56:16.749008100+00:00,5623.2998046875,Kgal,True,False,False,False
208,2021-11-29 20:18:47.774002+00:00,5623.5,Kgal,True,False,False,False
209,2021-11-29 20:18:56.759002600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
210,2021-11-29 20:18:57.837005600+00:00,5623.5,Kgal,True,False,False,False
211,2021-11-29 21:56:11.733001700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
212,2021-11-29 21:56:12.763000400+00:00,5623.5,Kgal,True,False,False,False
213,2021-11-30 05:47:57.755004800+00:00,5623.5,Kgal,True,False,False,False
214,2021-11-30 10:39:16.732009800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
215,2021-11-30 10:39:17.778015100+00:00,5623.5,Kgal,True,False,False,False
216,2021-11-30 10:58:06.659011800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
217,2021-11-30 10:58:07.737014700+00:00,5623.5,Kgal,True,False,False,False
218,2021-11-30 14:54:06.615005400+00:00,5623.60009765625,Kgal,True,False,False,False
219,2021-11-30 14:54:15.620010300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
220,2021-11-30 14:54:16.660003600+00:00,5623.60009765625,Kgal,True,False,False,False
221,2021-11-30 18:38:16.801010100+00:00,5623.7001953125,Kgal,True,False,False,False
222,2021-11-30 18:38:25.676010100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
223,2021-11-30 18:38:26.770004200+00:00,5623.7001953125,Kgal,True,False,False,False
224,2021-12-01 02:34:22.833007800+00:00,5623.7998046875,Kgal,True,False,False,False
225,2021-12-01 10:30:31.710006700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
226,2021-12-01 10:30:32.757003700+00:00,5623.7998046875,Kgal,True,False,False,False
227,2021-12-01 18:23:47.783004700+00:00,5624.0,Kgal,True,False,False,False
228,2021-12-02 02:16:02.812011700+00:00,5624.0,Kgal,True,False,False,False
229,2021-12-02 10:08:22.796005200+00:00,5624.0,Kgal,True,False,False,False
