,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 03:37:38.593002300+00:00,1470.9000244140625,Kgal,True,False,False,False
1,2021-11-06 08:54:32.522003100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
2,2021-11-06 08:54:33.553009+00:00,1470.9000244140625,Kgal,True,False,False,False
3,2021-11-06 16:46:58.574005100+00:00,1470.9000244140625,Kgal,True,False,False,False
4,2021-11-07 00:39:03.557006800+00:00,1470.9000244140625,Kgal,True,False,False,False
5,2021-11-07 05:31:29.660003600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
6,2021-11-07 05:34:25.551010100+00:00,1470.9000244140625,Kgal,True,False,False,False
7,2021-11-07 13:26:55.611007600+00:00,1470.9000244140625,Kgal,True,False,False,False
8,2021-11-07 16:00:29.475006100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
9,2021-11-07 16:00:30.553009+00:00,1470.9000244140625,Kgal,True,False,False,False
10,2021-11-07 18:56:00.562011700+00:00,1471.0,Kgal,True,False,False,False
11,2021-11-07 18:56:09.484008700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
12,2021-11-07 18:56:10.562011700+00:00,1471.0,Kgal,True,False,False,False
13,2021-11-08 02:48:15.639007500+00:00,1471.0,Kgal,True,False,False,False
14,2021-11-08 10:40:30.589004500+00:00,1471.0,Kgal,True,False,False,False
15,2021-11-08 14:19:45.519012400+00:00,1471.199951171875,Kgal,True,False,False,False
16,2021-11-08 14:19:54.503005900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
17,2021-11-08 14:19:55.519012400+00:00,1471.199951171875,Kgal,True,False,False,False
18,2021-11-08 14:29:49.518005300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
19,2021-11-08 14:29:50.533004700+00:00,1471.199951171875,Kgal,True,False,False,False
20,2021-11-08 22:22:13.535003600+00:00,1471.5,Kgal,True,False,False,False
21,2021-11-08 22:22:22.504013+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
22,2021-11-08 22:22:23.535003600+00:00,1471.5,Kgal,True,False,False,False
23,2021-11-08 22:48:52.692001300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
24,2021-11-08 22:49:06.022003100+00:00,1471.5,Kgal,True,False,False,False
25,2021-11-09 00:10:31.441009500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
26,2021-11-09 00:12:05.581008900+00:00,1471.5,Kgal,True,False,False,False
27,2021-11-09 02:29:22.556015+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
28,2021-11-09 02:29:23.587005600+00:00,1471.5,Kgal,True,False,False,False
29,2021-11-09 10:21:33.610000600+00:00,1471.5999755859375,Kgal,True,False,False,False
30,2021-11-09 12:02:03.561004600+00:00,1471.699951171875,Kgal,True,False,False,False
31,2021-11-09 12:02:12.529006900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
32,2021-11-09 12:02:13.561004600+00:00,1471.699951171875,Kgal,True,False,False,False
33,2021-11-09 20:01:21.529006900+00:00,1471.9000244140625,Kgal,True,False,False,False
34,2021-11-10 01:38:46.669006300+00:00,1472.0999755859375,Kgal,True,False,False,False
35,2021-11-10 01:38:55.482009800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
36,2021-11-10 01:38:56.591003400+00:00,1472.0999755859375,Kgal,True,False,False,False
37,2021-11-10 09:31:21.552001900+00:00,1472.0999755859375,Kgal,True,False,False,False
38,2021-11-10 11:48:51.519012400+00:00,1472.199951171875,Kgal,True,False,False,False
39,2021-11-10 11:49:00.488006500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
40,2021-11-10 11:49:01.553009+00:00,1472.199951171875,Kgal,True,False,False,False
41,2021-11-10 11:51:40.520004200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
42,2021-11-10 11:51:41.613006500+00:00,1472.199951171875,Kgal,True,False,False,False
43,2021-11-10 19:45:56.566009500+00:00,1472.5,Kgal,True,False,False,False
44,2021-11-11 00:24:21.562011700+00:00,1472.5999755859375,Kgal,True,False,False,False
45,2021-11-11 00:24:30.521011300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
46,2021-11-11 00:24:31.640014600+00:00,1472.5999755859375,Kgal,True,False,False,False
47,2021-11-11 04:00:25.517013500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
48,2021-11-11 04:00:26.579010+00:00,1472.5999755859375,Kgal,True,False,False,False
49,2021-11-11 05:36:40.484008700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
50,2021-11-11 05:36:41.609008700+00:00,1472.5999755859375,Kgal,True,False,False,False
51,2021-11-11 13:28:46.563003500+00:00,1472.5999755859375,Kgal,True,False,False,False
52,2021-11-11 14:45:15.517013500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
53,2021-11-11 14:45:16.579010+00:00,1472.5999755859375,Kgal,True,False,False,False
54,2021-11-11 22:37:16.647003100+00:00,1473.0,Kgal,True,False,False,False
55,2021-11-11 22:58:20.517013500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
56,2021-11-11 22:58:21.626007+00:00,1473.0,Kgal,True,False,False,False
57,2021-11-12 00:04:35.501007+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
58,2021-11-12 00:04:36.579010+00:00,1473.0,Kgal,True,False,False,False
59,2021-11-12 05:10:30.548004100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
60,2021-11-12 05:10:31.594009300+00:00,1473.0,Kgal,True,False,False,False
61,2021-11-12 13:04:11.557006800+00:00,1473.199951171875,Kgal,True,False,False,False
62,2021-11-12 17:59:41.575012200+00:00,1473.300048828125,Kgal,True,False,False,False
63,2021-11-12 17:59:50.561004600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
64,2021-11-12 17:59:51.561004600+00:00,1473.300048828125,Kgal,True,False,False,False
65,2021-11-12 19:34:26.543014500+00:00,1473.4000244140625,Kgal,True,False,False,False
66,2021-11-12 19:34:35.528015100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
67,2021-11-12 19:34:36.605010900+00:00,1473.4000244140625,Kgal,True,False,False,False
68,2021-11-13 00:39:51.575012200+00:00,1473.5,Kgal,True,False,False,False
69,2021-11-13 00:40:00.511001500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
70,2021-11-13 00:40:01.557006800+00:00,1473.5,Kgal,True,False,False,False
71,2021-11-13 03:28:00.509002600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
72,2021-11-13 03:28:01.586013700+00:00,1473.5,Kgal,True,False,False,False
73,2021-11-13 11:20:06.631011900+00:00,1473.5,Kgal,True,False,False,False
74,2021-11-13 16:32:45.498001+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
75,2021-11-13 16:32:46.591003400+00:00,1473.5,Kgal,True,False,False,False
76,2021-11-14 00:26:46.537002500+00:00,1473.5999755859375,Kgal,True,False,False,False
77,2021-11-14 04:09:25.512008600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
78,2021-11-14 04:09:26.528015100+00:00,1473.5999755859375,Kgal,True,False,False,False
79,2021-11-14 09:29:40.489013600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
80,2021-11-14 09:29:41.645004200+00:00,1473.5999755859375,Kgal,True,False,False,False
81,2021-11-14 15:42:25.508010800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
82,2021-11-14 15:42:26.569000200+00:00,1473.5999755859375,Kgal,True,False,False,False
83,2021-11-14 23:35:06.583007800+00:00,1473.699951171875,Kgal,True,False,False,False
84,2021-11-15 04:52:45.513000400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
85,2021-11-15 04:52:46.544006300+00:00,1473.699951171875,Kgal,True,False,False,False
86,2021-11-15 12:44:56.611007600+00:00,1473.699951171875,Kgal,True,False,False,False
87,2021-11-15 20:39:51.541000300+00:00,1474.0,Kgal,True,False,False,False
88,2021-11-16 01:30:51.610000600+00:00,1474.0999755859375,Kgal,True,False,False,False
89,2021-11-16 01:31:00.485000600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
90,2021-11-16 01:31:01.532012900+00:00,1474.0999755859375,Kgal,True,False,False,False
91,2021-11-16 07:02:55.470001200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
92,2021-11-16 07:02:56.610000600+00:00,1474.0999755859375,Kgal,True,False,False,False
93,2021-11-16 10:23:51.565002400+00:00,1474.199951171875,Kgal,True,False,False,False
94,2021-11-16 10:24:00.471008300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
95,2021-11-16 10:24:01.596008300+00:00,1474.199951171875,Kgal,True,False,False,False
96,2021-11-16 18:20:06.593002300+00:00,1474.5,Kgal,True,False,False,False
97,2021-11-17 02:18:06.602005+00:00,1474.699951171875,Kgal,True,False,False,False
98,2021-11-17 03:10:23.364013600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
99,2021-11-17 03:11:16.598007200+00:00,1474.699951171875,Kgal,True,False,False,False
100,2021-11-17 11:04:11.551010100+00:00,1474.800048828125,Kgal,True,False,False,False
101,2021-11-17 17:19:16.525009100+00:00,1475.0,Kgal,True,False,False,False
102,2021-11-17 17:19:25.494003200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
103,2021-11-17 17:19:26.541000300+00:00,1475.0,Kgal,True,False,False,False
104,2021-11-18 00:17:56.540008500+00:00,1475.199951171875,Kgal,True,False,False,False
105,2021-11-18 00:18:05.525009100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
106,2021-11-18 00:18:06.915008500+00:00,1475.199951171875,Kgal,True,False,False,False
107,2021-11-18 01:42:40.507003700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
108,2021-11-18 01:42:41.556015+00:00,1475.199951171875,Kgal,True,False,False,False
109,2021-11-18 09:35:16.572006200+00:00,1475.199951171875,Kgal,True,False,False,False
110,2021-11-18 10:40:11.577011100+00:00,1475.300048828125,Kgal,True,False,False,False
111,2021-11-18 10:40:20.546005200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
112,2021-11-18 10:40:21.546005200+00:00,1475.300048828125,Kgal,True,False,False,False
113,2021-11-18 18:32:21.561004600+00:00,1475.5,Kgal,True,False,False,False
114,2021-11-19 02:31:16.554000800+00:00,1475.699951171875,Kgal,True,False,False,False
115,2021-11-19 10:28:51.575012200+00:00,1475.800048828125,Kgal,True,False,False,False
116,2021-11-19 18:28:51.570007300+00:00,1476.0999755859375,Kgal,True,False,False,False
117,2021-11-20 02:21:56.595001200+00:00,1476.199951171875,Kgal,True,False,False,False
118,2021-11-20 02:22:05.546005200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
119,2021-11-20 02:22:07.014007500+00:00,1476.199951171875,Kgal,True,False,False,False
120,2021-11-20 03:35:00.568008400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
121,2021-11-20 03:35:01.615005400+00:00,1476.199951171875,Kgal,True,False,False,False
122,2021-11-20 06:48:40.513000400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
123,2021-11-20 06:48:41.607009800+00:00,1476.199951171875,Kgal,True,False,False,False
124,2021-11-20 14:40:51.565002400+00:00,1476.199951171875,Kgal,True,False,False,False
125,2021-11-20 22:40:41.588012600+00:00,1476.300048828125,Kgal,True,False,False,False
126,2021-11-21 01:22:25.519012400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
127,2021-11-21 01:22:26.908004700+00:00,1476.300048828125,Kgal,True,False,False,False
128,2021-11-21 09:14:51.598007200+00:00,1476.300048828125,Kgal,True,False,False,False
129,2021-11-21 17:07:07.006011900+00:00,1476.300048828125,Kgal,True,False,False,False
130,2021-11-21 19:49:55.546005200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
131,2021-11-21 19:49:56.627014100+00:00,1476.300048828125,Kgal,True,False,False,False
132,2021-11-22 03:41:56.641006400+00:00,1476.4000244140625,Kgal,True,False,False,False
133,2021-11-22 11:40:41.609008700+00:00,1476.5,Kgal,True,False,False,False
134,2021-11-22 13:13:20.536010700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
135,2021-11-22 13:13:21.614013600+00:00,1476.5,Kgal,True,False,False,False
136,2021-11-22 21:11:56.569000200+00:00,1476.800048828125,Kgal,True,False,False,False
137,2021-11-23 05:07:36.554000800+00:00,1476.9000244140625,Kgal,True,False,False,False
138,2021-11-23 12:59:31.607009800+00:00,1476.9000244140625,Kgal,True,False,False,False
139,2021-11-23 17:23:16.547012300+00:00,1477.0,Kgal,True,False,False,False
140,2021-11-23 17:23:25.516006400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
141,2021-11-23 17:23:26.921005200+00:00,1477.0,Kgal,True,False,False,False
142,2021-11-24 01:15:46.962005600+00:00,1477.199951171875,Kgal,True,False,False,False
143,2021-11-24 09:07:51.567001300+00:00,1477.199951171875,Kgal,True,False,False,False
144,2021-11-24 17:00:07.007003700+00:00,1477.5,Kgal,True,False,False,False
145,2021-11-24 23:24:36.556015+00:00,1477.5999755859375,Kgal,True,False,False,False
146,2021-11-24 23:24:45.494003200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
147,2021-11-24 23:24:46.821014400+00:00,1477.5999755859375,Kgal,True,False,False,False
148,2021-11-25 00:03:05.516006400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
