,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 01:15:08.288009600+00:00,46409.69921875,Kgal,True,False,False,False
1,2021-11-06 04:02:18.300003+00:00,46411.1015625,Kgal,True,False,False,False
2,2021-11-06 09:03:33.297012300+00:00,46412.69921875,Kgal,True,False,False,False
3,2021-11-06 13:50:28.328002900+00:00,46413.3984375,Kgal,True,False,False,False
4,2021-11-06 16:04:13.272003100+00:00,46414.80078125,Kgal,True,False,False,False
5,2021-11-06 16:15:38.305007900+00:00,46415.6015625,Kgal,True,False,False,False
6,2021-11-06 17:14:38.292007400+00:00,46417.1015625,Kgal,True,False,False,False
7,2021-11-06 17:26:03.294006300+00:00,46417.80078125,Kgal,True,False,False,False
8,2021-11-06 19:46:38.320007300+00:00,46419.0,Kgal,True,False,False,False
9,2021-11-06 22:57:38.294006300+00:00,46420.3984375,Kgal,True,False,False,False
10,2021-11-07 01:50:08.308013900+00:00,46421.5,Kgal,True,False,False,False
11,2021-11-07 03:50:43.324005100+00:00,46422.5,Kgal,True,False,False,False
12,2021-11-07 05:30:43.300003+00:00,46423.19921875,Kgal,True,False,False,False
13,2021-11-07 05:31:08.384002600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
14,2021-11-07 05:33:50.286010700+00:00,46423.30078125,Kgal,True,False,False,False
15,2021-11-07 08:04:55.305007900+00:00,46423.8984375,Kgal,True,False,False,False
16,2021-11-07 13:23:55.280014+00:00,46424.5,Kgal,True,False,False,False
17,2021-11-07 16:16:50.319000200+00:00,46425.8984375,Kgal,True,False,False,False
18,2021-11-07 20:18:10.276000900+00:00,46428.0,Kgal,True,False,False,False
19,2021-11-07 22:30:55.323013300+00:00,46429.0,Kgal,True,False,False,False
20,2021-11-07 22:40:25.294006300+00:00,46429.6015625,Kgal,True,False,False,False
21,2021-11-07 23:40:45.289001400+00:00,46431.0,Kgal,True,False,False,False
22,2021-11-07 23:49:05.302001900+00:00,46431.5,Kgal,True,False,False,False
23,2021-11-08 06:11:00.327011100+00:00,46434.6015625,Kgal,True,False,False,False
24,2021-11-08 10:15:10.293014500+00:00,46435.19921875,Kgal,True,False,False,False
25,2021-11-08 13:00:50.283004700+00:00,46435.80078125,Kgal,True,False,False,False
26,2021-11-08 14:47:55.283004700+00:00,46436.8984375,Kgal,True,False,False,False
27,2021-11-08 17:03:25.329010+00:00,46438.30078125,Kgal,True,False,False,False
28,2021-11-08 18:19:30.294006300+00:00,46439.0,Kgal,True,False,False,False
29,2021-11-08 22:48:23.270004200+00:00,46440.8984375,Kgal,True,False,False,False
30,2021-11-08 22:48:48.242004300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
31,2021-11-08 22:49:05.479003900+00:00,46440.8984375,Kgal,True,False,False,False
32,2021-11-08 23:04:20.401000900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
33,2021-11-08 23:04:23.920013400+00:00,46441.0,Kgal,True,False,False,False
34,2021-11-09 00:09:23.298004100+00:00,46441.5,Kgal,True,False,False,False
35,2021-11-09 00:09:48.415008500+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
36,2021-11-09 00:12:43.299011200+00:00,46441.5,Kgal,True,False,False,False
37,2021-11-09 01:08:23.274002+00:00,46442.0,Kgal,True,False,False,False
38,2021-11-09 01:19:58.287002500+00:00,46442.6015625,Kgal,True,False,False,False
39,2021-11-09 02:16:08.317001300+00:00,46443.80078125,Kgal,True,False,False,False
40,2021-11-09 02:25:18.288009600+00:00,46444.5,Kgal,True,False,False,False
41,2021-11-09 03:36:53.302001900+00:00,46445.3984375,Kgal,True,False,False,False
42,2021-11-09 06:24:48.317001300+00:00,46446.69921875,Kgal,True,False,False,False
43,2021-11-09 09:15:38.298004100+00:00,46447.5,Kgal,True,False,False,False
44,2021-11-09 12:07:53.300003+00:00,46447.80078125,Kgal,True,False,False,False
45,2021-11-09 14:06:08.284011800+00:00,46448.69921875,Kgal,True,False,False,False
46,2021-11-09 17:25:51.284011800+00:00,46450.6015625,Kgal,True,False,False,False
47,2021-11-09 18:26:31.297012300+00:00,46451.30078125,Kgal,True,False,False,False
48,2021-11-09 21:11:26.320007300+00:00,46452.3984375,Kgal,True,False,False,False
49,2021-11-10 02:10:41.289001400+00:00,46454.5,Kgal,True,False,False,False
50,2021-11-10 03:53:46.293014500+00:00,46455.8984375,Kgal,True,False,False,False
51,2021-11-10 04:05:56.305007900+00:00,46456.6015625,Kgal,True,False,False,False
52,2021-11-10 05:04:11.293014500+00:00,46458.1015625,Kgal,True,False,False,False
53,2021-11-10 05:13:51.292007400+00:00,46458.69921875,Kgal,True,False,False,False
54,2021-11-10 06:54:11.290008500+00:00,46459.3984375,Kgal,True,False,False,False
55,2021-11-10 10:05:26.295013400+00:00,46459.80078125,Kgal,True,False,False,False
56,2021-11-10 12:51:46.273010200+00:00,46460.3984375,Kgal,True,False,False,False
57,2021-11-10 14:59:21.309005700+00:00,46461.80078125,Kgal,True,False,False,False
58,2021-11-10 18:13:46.333007800+00:00,46463.80078125,Kgal,True,False,False,False
59,2021-11-10 21:09:36.291000300+00:00,46465.5,Kgal,True,False,False,False
60,2021-11-11 00:14:51.303009+00:00,46466.69921875,Kgal,True,False,False,False
61,2021-11-11 03:22:36.280014+00:00,46468.80078125,Kgal,True,False,False,False
62,2021-11-11 03:32:36.336013700+00:00,46469.5,Kgal,True,False,False,False
63,2021-11-11 04:32:41.320007300+00:00,46470.8984375,Kgal,True,False,False,False
64,2021-11-11 04:41:26.306015+00:00,46471.6015625,Kgal,True,False,False,False
65,2021-11-11 06:43:51.323013300+00:00,46472.6015625,Kgal,True,False,False,False
66,2021-11-11 12:47:46.298004100+00:00,46473.80078125,Kgal,True,False,False,False
67,2021-11-11 15:50:21.306015+00:00,46475.3984375,Kgal,True,False,False,False
68,2021-11-11 17:18:11.291000300+00:00,46476.5,Kgal,True,False,False,False
69,2021-11-11 20:22:31.293014500+00:00,46478.3984375,Kgal,True,False,False,False
70,2021-11-11 23:20:11.286010700+00:00,46480.1015625,Kgal,True,False,False,False
71,2021-11-12 00:04:41.267013500+00:00,46480.6015625,Kgal,True,False,False,False
72,2021-11-12 04:11:36.283004700+00:00,46482.6015625,Kgal,True,False,False,False
73,2021-11-12 04:22:01.285003600+00:00,46483.3984375,Kgal,True,False,False,False
74,2021-11-12 05:24:36.287002500+00:00,46485.30078125,Kgal,True,False,False,False
75,2021-11-12 05:30:46.297012300+00:00,46485.80078125,Kgal,True,False,False,False
76,2021-11-12 07:38:11.283004700+00:00,46486.5,Kgal,True,False,False,False
77,2021-11-12 12:35:06.314010600+00:00,46487.1015625,Kgal,True,False,False,False
78,2021-11-12 16:34:36.329010+00:00,46489.30078125,Kgal,True,False,False,False
79,2021-11-12 17:28:38.342010400+00:00,46490.0,Kgal,True,False,False,False
80,2021-11-12 19:39:41.299011200+00:00,46491.6015625,Kgal,True,False,False,False
81,2021-11-12 22:29:51.288009600+00:00,46492.69921875,Kgal,True,False,False,False
