,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 06:12:53.471008300+00:00,21899.400390625,Kgal,True,False,False,False
1,2021-11-06 14:12:53.466003400+00:00,21901.30078125,Kgal,True,False,False,False
2,2021-11-06 22:05:48.478012+00:00,21903.30078125,Kgal,True,False,False,False
3,2021-11-07 05:30:43.457000700+00:00,21905.0,Kgal,True,False,False,False
4,2021-11-07 05:31:29.677001900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
5,2021-11-07 05:32:40.487014700+00:00,21905.0,Kgal,True,False,False,False
6,2021-11-07 13:24:45.499008100+00:00,21906.900390625,Kgal,True,False,False,False
7,2021-11-07 17:22:35.771011300+00:00,21907.900390625,Kgal,True,False,False,False
8,2021-11-07 17:22:44.427001900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
9,2021-11-07 17:22:45.505004800+00:00,21907.900390625,Kgal,True,False,False,False
10,2021-11-08 01:22:25.459014800+00:00,21909.900390625,Kgal,True,False,False,False
11,2021-11-08 09:19:45.484008700+00:00,21911.80078125,Kgal,True,False,False,False
12,2021-11-08 14:39:05.521011300+00:00,21913.30078125,Kgal,True,False,False,False
13,2021-11-08 19:00:20.480010900+00:00,21915.400390625,Kgal,True,False,False,False
14,2021-11-08 23:49:43.527008+00:00,21917.400390625,Kgal,True,False,False,False
15,2021-11-09 00:05:03.497009200+00:00,21917.5,Kgal,True,False,False,False
16,2021-11-09 00:10:31.458007800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
17,2021-11-09 00:12:05.503005900+00:00,21917.5,Kgal,True,False,False,False
18,2021-11-09 08:11:43.495010300+00:00,21919.69921875,Kgal,True,False,False,False
19,2021-11-09 15:03:23.780014+00:00,21921.5,Kgal,True,False,False,False
20,2021-11-09 23:02:01.472000100+00:00,21925.0,Kgal,True,False,False,False
21,2021-11-10 06:58:36.462005600+00:00,21927.69921875,Kgal,True,False,False,False
22,2021-11-10 11:07:21.482009800+00:00,21929.0,Kgal,True,False,False,False
23,2021-11-10 11:07:30.451004+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
24,2021-11-10 11:07:31.483001700+00:00,21929.0,Kgal,True,False,False,False
25,2021-11-10 15:14:31.493011400+00:00,21930.5,Kgal,True,False,False,False
26,2021-11-10 18:44:21.476013100+00:00,21932.30078125,Kgal,True,False,False,False
27,2021-11-11 00:21:11.483001700+00:00,21934.5,Kgal,True,False,False,False
28,2021-11-11 08:17:41.529006900+00:00,21936.69921875,Kgal,True,False,False,False
29,2021-11-11 14:32:11.505004800+00:00,21938.5,Kgal,True,False,False,False
30,2021-11-11 21:37:11.480010900+00:00,21941.599609375,Kgal,True,False,False,False
31,2021-11-12 01:55:06.512008600+00:00,21942.900390625,Kgal,True,False,False,False
32,2021-11-12 01:55:15.450012200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
33,2021-11-12 01:55:16.496002100+00:00,21942.900390625,Kgal,True,False,False,False
34,2021-11-12 04:57:41.483001700+00:00,21943.80078125,Kgal,True,False,False,False
35,2021-11-12 04:57:50.461013700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
36,2021-11-12 04:57:51.478012+00:00,21943.80078125,Kgal,True,False,False,False
37,2021-11-12 12:56:11.456008900+00:00,21946.0,Kgal,True,False,False,False
38,2021-11-12 17:37:51.471008300+00:00,21947.599609375,Kgal,True,False,False,False
39,2021-11-12 21:22:31.455001800+00:00,21949.0,Kgal,True,False,False,False
40,2021-11-13 05:20:41.483001700+00:00,21951.099609375,Kgal,True,False,False,False
41,2021-11-13 13:20:06.469009300+00:00,21953.0,Kgal,True,False,False,False
42,2021-11-13 20:02:26.445007300+00:00,21954.80078125,Kgal,True,False,False,False
43,2021-11-13 21:12:01.473007200+00:00,21955.30078125,Kgal,True,False,False,False
44,2021-11-14 05:11:06.534011800+00:00,21957.19921875,Kgal,True,False,False,False
45,2021-11-14 13:10:31.486007600+00:00,21959.19921875,Kgal,True,False,False,False
46,2021-11-14 21:05:01.479003900+00:00,21961.30078125,Kgal,True,False,False,False
47,2021-11-15 05:01:16.491012500+00:00,21963.099609375,Kgal,True,False,False,False
48,2021-11-15 12:59:36.488006500+00:00,21965.0,Kgal,True,False,False,False
49,2021-11-15 16:43:21.455001800+00:00,21966.400390625,Kgal,True,False,False,False
50,2021-11-15 23:22:21.480010900+00:00,21969.0,Kgal,True,False,False,False
51,2021-11-16 00:54:46.504013+00:00,21969.599609375,Kgal,True,False,False,False
52,2021-11-16 01:54:56.457000700+00:00,21970.099609375,Kgal,True,False,False,False
53,2021-11-16 09:45:06.474014200+00:00,21972.099609375,Kgal,True,False,False,False
54,2021-11-16 15:21:56.500000+00:00,21973.599609375,Kgal,True,False,False,False
55,2021-11-16 20:13:56.484008700+00:00,21975.80078125,Kgal,True,False,False,False
56,2021-11-16 23:09:01.512008600+00:00,21977.0,Kgal,True,False,False,False
57,2021-11-17 03:09:36.474014200+00:00,21978.099609375,Kgal,True,False,False,False
58,2021-11-17 03:10:23.442001300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
59,2021-11-17 03:11:26.490005400+00:00,21978.099609375,Kgal,True,False,False,False
60,2021-11-17 04:21:11.488006500+00:00,21978.400390625,Kgal,True,False,False,False
61,2021-11-17 04:21:57.503005900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
62,2021-11-17 04:23:31.474014200+00:00,21978.400390625,Kgal,True,False,False,False
63,2021-11-17 12:22:01.469009300+00:00,21980.19921875,Kgal,True,False,False,False
64,2021-11-17 17:47:11.460006700+00:00,21982.30078125,Kgal,True,False,False,False
65,2021-11-18 00:08:56.481002800+00:00,21985.0,Kgal,True,False,False,False
66,2021-11-18 08:01:01.487014700+00:00,21987.099609375,Kgal,True,False,False,False
67,2021-11-18 14:35:46.459014800+00:00,21988.80078125,Kgal,True,False,False,False
68,2021-11-18 22:34:56.497009200+00:00,21992.099609375,Kgal,True,False,False,False
69,2021-11-18 23:24:16.487014700+00:00,21992.30078125,Kgal,True,False,False,False
70,2021-11-18 23:24:25.440002400+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
71,2021-11-18 23:24:26.455001800+00:00,21992.30078125,Kgal,True,False,False,False
72,2021-11-19 07:19:41.492004300+00:00,21994.400390625,Kgal,True,False,False,False
