,Timestamp,Value,UnitsAbbreviation,Good,Questionable,Substituted,Annotated
0,2021-11-06 03:24:03.252014100+00:00,1825.199951171875,Kgal,True,False,False,False
1,2021-11-06 11:15:48.340011500+00:00,1825.199951171875,Kgal,True,False,False,False
2,2021-11-06 19:12:43.301010100+00:00,1825.699951171875,Kgal,True,False,False,False
3,2021-11-07 03:10:28.294006300+00:00,1825.699951171875,Kgal,True,False,False,False
4,2021-11-07 05:31:29.593002300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
5,2021-11-07 05:34:52.113006500+00:00,1825.699951171875,Kgal,True,False,False,False
6,2021-11-07 05:36:26.192001300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
7,2021-11-07 05:36:26.442001300+00:00,1825.699951171875,Kgal,True,False,False,False
8,2021-11-07 13:28:40.254013+00:00,1825.800048828125,Kgal,True,False,False,False
9,2021-11-07 21:20:50.290008500+00:00,1826.300048828125,Kgal,True,False,False,False
10,2021-11-08 05:13:20.332000700+00:00,1826.4000244140625,Kgal,True,False,False,False
11,2021-11-08 13:05:10.318008400+00:00,1826.4000244140625,Kgal,True,False,False,False
12,2021-11-08 20:57:40.279006900+00:00,1826.5,Kgal,True,False,False,False
13,2021-11-08 21:17:41.172012300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
14,2021-11-08 21:17:41.469009300+00:00,1826.5,Kgal,True,False,False,False
15,2021-11-08 21:23:16.206008900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
16,2021-11-08 21:23:16.455001800+00:00,1826.5,Kgal,True,False,False,False
17,2021-11-08 21:28:51.207000700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
18,2021-11-08 21:28:51.472000100+00:00,1826.5,Kgal,True,False,False,False
19,2021-11-08 21:34:21.210006700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
20,2021-11-08 21:34:21.443008400+00:00,1826.5,Kgal,True,False,False,False
21,2021-11-08 21:40:06.212005600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
22,2021-11-08 21:40:06.540008500+00:00,1826.5,Kgal,True,False,False,False
23,2021-11-08 21:45:51.194000200+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
24,2021-11-08 21:45:55.307006800+00:00,1826.5,Kgal,True,False,False,False
25,2021-11-08 21:51:41.207000700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
26,2021-11-08 21:51:41.457000700+00:00,1826.5,Kgal,True,False,False,False
27,2021-11-08 21:57:05.192001300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
28,2021-11-08 21:57:26.442001300+00:00,1826.5,Kgal,True,False,False,False
29,2021-11-08 22:03:11.195007300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
30,2021-11-08 22:03:11.476013100+00:00,1826.5,Kgal,True,False,False,False
31,2021-11-08 22:05:31.304000800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
32,2021-11-08 22:05:33.632003700+00:00,1826.5,Kgal,True,False,False,False
33,2021-11-08 22:08:54.202011100+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
34,2021-11-08 22:08:54.499008100+00:00,1826.5,Kgal,True,False,False,False
35,2021-11-08 22:14:39.189010600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
36,2021-11-08 22:14:39.517013500+00:00,1826.5,Kgal,True,False,False,False
37,2021-11-08 22:20:24.235000600+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
38,2021-11-08 22:20:24.485000600+00:00,1826.5,Kgal,True,False,False,False
39,2021-11-08 22:26:09.209014800+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
40,2021-11-08 22:26:09.474014200+00:00,1826.5,Kgal,True,False,False,False
41,2021-11-08 22:31:49.206008900+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
42,2021-11-08 22:31:49.565002400+00:00,1826.5,Kgal,True,False,False,False
43,2021-11-08 22:37:29.211013700+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
44,2021-11-08 22:37:29.524002+00:00,1826.5,Kgal,True,False,False,False
45,2021-11-08 22:43:09.198013300+00:00,"{'Name': 'Calc Failed', 'Value': 249, 'IsSystem': True}",,False,False,False,False
